fips,name,state,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
48223,Hopkins,TX,4.8,4.2,4,3.6,3.4,3.1,5.1,4.4,3.5,56680,84.6
48225,Houston,TX,5,4.5,4.6,4.4,3.8,3.1,5.3,4.9,3.6,45603,68.1
48227,Howard,TX,4.4,4.6,5.5,4.3,3.3,3.1,8.1,6.4,5.1,55842,83.4
48229,Hudspeth,TX,6.4,5.7,6,5.8,4.6,4.3,8.1,5.7,4,38904,58.1
48231,Hunt,TX,6,4.8,4.3,4,3.8,3.6,6.6,5.2,3.9,58326,87.1
48233,Hutchinson,TX,4.4,4.4,5.6,6.1,5,4.4,7.2,5.9,4.5,56646,84.6
48235,Irion,TX,3.7,3.6,3.2,3.1,3.2,2.4,6.1,4.8,3,69966,104.5
48237,Jack,TX,3.8,4.2,5,3.8,2.5,3.1,7,5.5,3.8,51846,77.4
48239,Jackson,TX,4,3.8,4.7,4,3.3,3,5.8,5,3.5,60666,90.6
48241,Jasper,TX,8.3,7.5,7.7,7.5,6.6,6.1,11.3,9.6,6.4,50038,74.7
48243,Jeff Davis,TX,3.7,3.3,3,3.2,2.9,2.9,5.1,4.3,3.4,56149,83.9
48245,Jefferson,TX,8.4,7,7,7.4,6.4,5.9,12,9.8,6.2,55575,83
48247,Jim Hogg,TX,6.1,7.2,9.6,7.3,5.7,4.8,9.6,8.7,5.4,37454,55.9
48249,Jim Wells,TX,5.3,7.9,10.6,7.6,5.5,4.7,13,9.9,5.7,43852,65.5
48251,Johnson,TX,5.1,4.4,4.4,3.8,3.5,3.2,6.5,4.9,3.5,76226,113.8
48253,Jones,TX,5.6,5.5,5.8,5.4,4.8,4.3,7.1,6.1,4.3,52288,78.1
48255,Karnes,TX,3.7,4.3,4.9,3.5,2.9,2.5,6.3,5.2,3.3,48470,72.4
48257,Kaufman,TX,5.2,4.1,3.8,3.6,3.5,3.2,6.4,4.9,3.7,73660,110
